"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","url","stimulus","response","phase","type","word","correct_choice","problem","correct","image_set","selected_image","answer_key","distractors","correct_answers","incorrect_answers","false_alarms","missed_answers","miss_rate","accuracy"
"true","6715","fullscreen","0","null","7732","p213h3m86k1","","","","","","","","","","","","","","","","","","",""
"","76516","external-html","1","2.1.0","84378","p213h3m86k1","consent.html","","","","","","","","","","","","","","","","","",""
"","16942","html-button-response","2","2.1.0","101329","p213h3m86k1","","
                <h2>Welcome to our study!</h2>
                <p><strong>Please read the following instructions carefully:</strong></p>
                <div style=""text-align: left; max-width: 800px;"">
                    <p>In this study, you will complete a brief baseline evaluation about your music habits, genre preferences, study routines, and motivation levels.</p>
                    <p>Next, you will be presented with a series of words in the center of your screen. Please pay close attention and try to learn as many words as possible, as you will later be tested on your memory of them.</p>
                    <p>Between learning phases, you will complete short activities designed to keep you engaged. These tasks are not part of the retention test, but they are important for the study.</p>
                    <p>You will repeat this process under different audio conditions to explore how music affects learning and retention.</p>
                </div>
                <hr />
                <p><em>Stay focused, and do your best!</em></p>
            ","0","","","","","","","","","","","","","","","",""
"","41857","survey","3","2.1.0","143296","p213h3m86k1","","","{""baseline-age"":20,""baseline-race"":[""White""],""baseline-listen-frequency"":""Sometimes"",""baseline-listening-device"":""Earbuds"",""baseline-music-type"":[""Rock""],""baseline-study-hours"":""2-3"",""baseline-study-location"":[""Library""],""baseline-study-motivation"":7}","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","4","2.0.0","146298","p213h3m86k1","","
                <h2>Thank you!</h2>
                <p>Your baseline evaluation responses have been recorded.</p>
                <p><strong>You will now be taken to the learning task.</strong></p>
            ","null","","","","","","","","","","","","","","","",""
"","24859","html-button-response","5","2.1.0","171203","p213h3m86k1","","
                <h2>Adjust your volume</h2>
                <p>Before continuing, please adjust your volume using the audio player below.</p>
                <div><audio id=""audio_test"" controls controlsList = ""noplaybackrate nodownload"" src=""audio/test.wav""></audio></div>
            ","0","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","6","2.0.0","181209","p213h3m86k1","","<p>Starting trial with silence.</p>
                  <p><strong>Please pay attention to the words in the center of your screen.</strong></p>
                  <p><em>The trial will begin in a few seconds.</em></p>","null","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","7","2.0.0","181716","p213h3m86k1","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","8","2.0.0","182721","p213h3m86k1","","<p style=""font-size: 32px;"">tree</p>","null","silence","word","tree","","","","","","","","","","","","",""
"","null","html-keyboard-response","9","2.0.0","183225","p213h3m86k1","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","10","2.0.0","184229","p213h3m86k1","","<p style=""font-size: 32px;"">window</p>","null","silence","word","window","","","","","","","","","","","","",""
"","null","html-keyboard-response","11","2.0.0","184733","p213h3m86k1","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","12","2.0.0","185737","p213h3m86k1","","<p style=""font-size: 32px;"">hill</p>","null","silence","word","hill","","","","","","","","","","","","",""
"","null","html-keyboard-response","13","2.0.0","186240","p213h3m86k1","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","14","2.0.0","187244","p213h3m86k1","","<p style=""font-size: 32px;"">star</p>","null","silence","word","star","","","","","","","","","","","","",""
"","null","html-keyboard-response","15","2.0.0","187748","p213h3m86k1","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","16","2.0.0","188776","p213h3m86k1","","<p style=""font-size: 32px;"">computer</p>","null","silence","word","computer","","","","","","","","","","","","",""
"","null","html-keyboard-response","17","2.0.0","189285","p213h3m86k1","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","18","2.0.0","190305","p213h3m86k1","","<p style=""font-size: 32px;"">train</p>","null","silence","word","train","","","","","","","","","","","","",""
"","null","html-keyboard-response","19","2.0.0","190816","p213h3m86k1","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","20","2.0.0","191836","p213h3m86k1","","<p style=""font-size: 32px;"">guitar</p>","null","silence","word","guitar","","","","","","","","","","","","",""
"","null","html-keyboard-response","21","2.0.0","192346","p213h3m86k1","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","22","2.0.0","193366","p213h3m86k1","","<p style=""font-size: 32px;"">desert</p>","null","silence","word","desert","","","","","","","","","","","","",""
"","null","html-keyboard-response","23","2.0.0","193876","p213h3m86k1","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","24","2.0.0","194896","p213h3m86k1","","<p style=""font-size: 32px;"">cup</p>","null","silence","word","cup","","","","","","","","","","","","",""
"","null","html-keyboard-response","25","2.0.0","195406","p213h3m86k1","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","26","2.0.0","196426","p213h3m86k1","","<p style=""font-size: 32px;"">door</p>","null","silence","word","door","","","","","","","","","","","","",""
"","null","html-keyboard-response","27","2.0.0","196935","p213h3m86k1","","<p style=""font-size: 40px;"">+</p>","null","silence","fixation","","","","","","","","","","","","","",""
