"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","url","stimulus","response","phase","type","word","correct_choice","problem","correct","image_set","selected_image","answer_key","distractors","correct_answers","incorrect_answers","false_alarms","missed_answers","miss_rate","accuracy"
"true","3442","fullscreen","0","null","4460","pr5qb52kpv1","","","","","","","","","","","","","","","","","","",""
"","7451","external-html","1","2.1.0","12058","pr5qb52kpv1","consent.html","","","","","","","","","","","","","","","","","",""
"","18297","html-button-response","2","2.1.0","30367","pr5qb52kpv1","","
                <h2>Welcome to our study!</h2>
                <p><strong>Please read the following instructions carefully:</strong></p>
                <div style=""text-align: left; max-width: 800px;"">
                    <p>In this study, you will complete a brief baseline evaluation about your music habits, genre preferences, study routines, and motivation levels.</p>
                    <p>Next, you will be presented with a series of words in the center of your screen. Please pay close attention and try to learn as many words as possible, as you will later be tested on your memory of them.</p>
                    <p>Between learning phases, you will complete short activities designed to keep you engaged. These tasks are not part of the retention test, but they are important for the study.</p>
                    <p>You will repeat this process under different audio conditions to explore how music affects learning and retention.</p>
                </div>
                <hr />
                <p><em>Stay focused, and do your best!</em></p>
            ","0","","","","","","","","","","","","","","","",""
"","70325","survey","3","2.1.0","100804","pr5qb52kpv1","","","{""baseline-race"":[""Hispanic, Latino, or Spanish Origin""],""baseline-age"":18,""baseline-listen-frequency"":""Sometimes"",""baseline-listening-device"":""Earbuds"",""baseline-music-type"":[""Latin / Reggaeton"",""Hip-Hop / Rap"",""Pop""],""baseline-study-hours"":""4-5"",""baseline-study-location"":[""Library"",""Home""],""baseline-study-motivation"":6}","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","4","2.0.0","103808","pr5qb52kpv1","","
                <h2>Thank you!</h2>
                <p>Your baseline evaluation responses have been recorded.</p>
                <p><strong>You will now be taken to the learning task.</strong></p>
            ","null","","","","","","","","","","","","","","","",""
"","10229","html-button-response","5","2.1.0","114094","pr5qb52kpv1","","
                <h2>Adjust your volume</h2>
                <p>Before continuing, please adjust your volume using the audio player below.</p>
                <div><audio id=""audio_test"" controls controlsList = ""noplaybackrate nodownload"" src=""audio/test.wav""></audio></div>
            ","0","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","6","2.0.0","124100","pr5qb52kpv1","","<p>Starting trial with chill instrumental music.</p>
                  <p><strong>Please pay attention to the words in the center of your screen.</strong></p>
                  <p><em>The trial will begin in a few seconds.</em></p>","null","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","7","2.0.0","124606","pr5qb52kpv1","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","8","2.0.0","125611","pr5qb52kpv1","","<p style=""font-size: 32px;"">tree</p>","null","instrumental","word","tree","","","","","","","","","","","","",""
"","null","html-keyboard-response","9","2.0.0","126117","pr5qb52kpv1","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","10","2.0.0","127121","pr5qb52kpv1","","<p style=""font-size: 32px;"">window</p>","null","instrumental","word","window","","","","","","","","","","","","",""
"","null","html-keyboard-response","11","2.0.0","127625","pr5qb52kpv1","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","12","2.0.0","128629","pr5qb52kpv1","","<p style=""font-size: 32px;"">hill</p>","null","instrumental","word","hill","","","","","","","","","","","","",""
"","null","html-keyboard-response","13","2.0.0","129134","pr5qb52kpv1","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","14","2.0.0","130138","pr5qb52kpv1","","<p style=""font-size: 32px;"">star</p>","null","instrumental","word","star","","","","","","","","","","","","",""
"","null","html-keyboard-response","15","2.0.0","130642","pr5qb52kpv1","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","16","2.0.0","131646","pr5qb52kpv1","","<p style=""font-size: 32px;"">computer</p>","null","instrumental","word","computer","","","","","","","","","","","","",""
"","null","html-keyboard-response","17","2.0.0","132149","pr5qb52kpv1","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","18","2.0.0","133152","pr5qb52kpv1","","<p style=""font-size: 32px;"">train</p>","null","instrumental","word","train","","","","","","","","","","","","",""
"","null","html-keyboard-response","19","2.0.0","133656","pr5qb52kpv1","","<p style=""font-size: 40px;"">+</p>","null","instrumental","fixation","","","","","","","","","","","","","",""
