"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","url","stimulus","response","phase","type","word","correct_choice","problem","correct","image_set","selected_image","answer_key","distractors","correct_answers","incorrect_answers","false_alarms","missed_answers","miss_rate","accuracy"
"true","2113","fullscreen","0","null","3132","pq78kx418s8","","","","","","","","","","","","","","","","","","",""
"","10778","external-html","1","2.1.0","13933","pq78kx418s8","consent.html","","","","","","","","","","","","","","","","","",""
"","3401","html-button-response","2","2.1.0","17338","pq78kx418s8","","
                <h2>Welcome to our study!</h2>
                <p><strong>Please read the following instructions carefully:</strong></p>
                <div style=""text-align: left; max-width: 800px;"">
                    <p>In this study, you will complete a brief baseline evaluation about your music habits, genre preferences, study routines, and motivation levels.</p>
                    <p>Next, you will be presented with a series of words in the center of your screen. Please pay close attention and try to learn as many words as possible, as you will later be tested on your memory of them.</p>
                    <p>Between learning phases, you will complete short activities designed to keep you engaged. These tasks are not part of the retention test, but they are important for the study.</p>
                    <p>You will repeat this process under different audio conditions to explore how music affects learning and retention.</p>
                </div>
                <hr />
                <p><em>Stay focused, and do your best!</em></p>
            ","0","","","","","","","","","","","","","","","",""
"","68643","survey","3","2.1.0","86031","pq78kx418s8","","","{""baseline-age"":21,""baseline-race"":[""Asian"",""Hispanic, Latino, or Spanish Origin"",""Multiethnic""],""baseline-listen-frequency"":""Sometimes"",""baseline-listening-device"":""Over-ear headphones"",""baseline-music-type"":[""Classical"",""Latin / Reggaeton"",""Nature Sounds / White Noise"",""other""],""baseline-music-type-Comment"":""Video Game Boss OSTs (example: Kirby, Hollow Knight) when I have a big deadline"",""baseline-study-hours"":""8-9"",""baseline-study-location"":[""Home"",""Library""],""baseline-study-motivation"":7}","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","4","2.0.0","89035","pq78kx418s8","","
                <h2>Thank you!</h2>
                <p>Your baseline evaluation responses have been recorded.</p>
                <p><strong>You will now be taken to the learning task.</strong></p>
            ","null","","","","","","","","","","","","","","","",""
"","48012","html-button-response","5","2.1.0","137058","pq78kx418s8","","
                <h2>Adjust your volume</h2>
                <p>Before continuing, please adjust your volume using the audio player below.</p>
                <div><audio id=""audio_test"" controls controlsList = ""noplaybackrate nodownload"" src=""audio/test.wav""></audio></div>
            ","0","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","6","2.0.0","147064","pq78kx418s8","","<p>Starting trial with upbeat instrumental music.</p>
                  <p><strong>Please pay attention to the words in the center of your screen.</strong></p>
                  <p><em>The trial will begin in a few seconds.</em></p>","null","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","7","2.0.0","147570","pq78kx418s8","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","8","2.0.0","148572","pq78kx418s8","","<p style=""font-size: 32px;"">tree</p>","null","upbeat_instrumental","word","tree","","","","","","","","","","","","",""
"","null","html-keyboard-response","9","2.0.0","149074","pq78kx418s8","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","10","2.0.0","150082","pq78kx418s8","","<p style=""font-size: 32px;"">window</p>","null","upbeat_instrumental","word","window","","","","","","","","","","","","",""
"","null","html-keyboard-response","11","2.0.0","150586","pq78kx418s8","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","12","2.0.0","151592","pq78kx418s8","","<p style=""font-size: 32px;"">hill</p>","null","upbeat_instrumental","word","hill","","","","","","","","","","","","",""
"","null","html-keyboard-response","13","2.0.0","152098","pq78kx418s8","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","14","2.0.0","153102","pq78kx418s8","","<p style=""font-size: 32px;"">star</p>","null","upbeat_instrumental","word","star","","","","","","","","","","","","",""
"","null","html-keyboard-response","15","2.0.0","153607","pq78kx418s8","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","16","2.0.0","154614","pq78kx418s8","","<p style=""font-size: 32px;"">computer</p>","null","upbeat_instrumental","word","computer","","","","","","","","","","","","",""
"","null","html-keyboard-response","17","2.0.0","155116","pq78kx418s8","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","18","2.0.0","156122","pq78kx418s8","","<p style=""font-size: 32px;"">train</p>","null","upbeat_instrumental","word","train","","","","","","","","","","","","",""
"","null","html-keyboard-response","19","2.0.0","156625","pq78kx418s8","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","20","2.0.0","157632","pq78kx418s8","","<p style=""font-size: 32px;"">guitar</p>","null","upbeat_instrumental","word","guitar","","","","","","","","","","","","",""
"","null","html-keyboard-response","21","2.0.0","158134","pq78kx418s8","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","22","2.0.0","159140","pq78kx418s8","","<p style=""font-size: 32px;"">desert</p>","null","upbeat_instrumental","word","desert","","","","","","","","","","","","",""
"","null","html-keyboard-response","23","2.0.0","159644","pq78kx418s8","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","24","2.0.0","160650","pq78kx418s8","","<p style=""font-size: 32px;"">cup</p>","null","upbeat_instrumental","word","cup","","","","","","","","","","","","",""
"","null","html-keyboard-response","25","2.0.0","161154","pq78kx418s8","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","26","2.0.0","162160","pq78kx418s8","","<p style=""font-size: 32px;"">door</p>","null","upbeat_instrumental","word","door","","","","","","","","","","","","",""
"","null","html-keyboard-response","27","2.0.0","162663","pq78kx418s8","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","28","2.0.0","163669","pq78kx418s8","","<p style=""font-size: 32px;"">ceiling</p>","null","upbeat_instrumental","word","ceiling","","","","","","","","","","","","",""
"","null","html-keyboard-response","29","2.0.0","164175","pq78kx418s8","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","30","2.0.0","165182","pq78kx418s8","","<p style=""font-size: 32px;"">desk</p>","null","upbeat_instrumental","word","desk","","","","","","","","","","","","",""
"","null","html-keyboard-response","31","2.0.0","165688","pq78kx418s8","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","32","2.0.0","166694","pq78kx418s8","","<p style=""font-size: 32px;"">keyboard</p>","null","upbeat_instrumental","word","keyboard","","","","","","","","","","","","",""
"","null","html-keyboard-response","33","2.0.0","167200","pq78kx418s8","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","34","2.0.0","168203","pq78kx418s8","","<p style=""font-size: 32px;"">horizon</p>","null","upbeat_instrumental","word","horizon","","","","","","","","","","","","",""
"","null","html-keyboard-response","35","2.0.0","168709","pq78kx418s8","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","36","2.0.0","169715","pq78kx418s8","","<p style=""font-size: 32px;"">stream</p>","null","upbeat_instrumental","word","stream","","","","","","","","","","","","",""
"","2628","html-button-response","37","2.1.0","172346","pq78kx418s8","","<p style=""font-size: 36px;"">16 + 12 = ?</p>","2","math_distractor_upbeat_instrumental","","","2","16 + 12 = ?","true","","","","","","","","","",""
"","2059","html-button-response","38","2.1.0","174407","pq78kx418s8","","<p style=""font-size: 36px;"">11 × 2 = ?</p>","3","math_distractor_upbeat_instrumental","","","3","11 × 2 = ?","true","","","","","","","","","",""
"","1422","html-button-response","39","2.1.0","175829","pq78kx418s8","","<p style=""font-size: 36px;"">7 × 7 = ?</p>","2","math_distractor_upbeat_instrumental","","","2","7 × 7 = ?","true","","","","","","","","","",""
"","2491","html-button-response","40","2.1.0","178322","pq78kx418s8","","<p style=""font-size: 36px;"">27 - 13 = ?</p>","2","math_distractor_upbeat_instrumental","","","2","27 - 13 = ?","true","","","","","","","","","",""
"","1664","html-button-response","41","2.1.0","179988","pq78kx418s8","","<p style=""font-size: 36px;"">8 × 6 = ?</p>","1","math_distractor_upbeat_instrumental","","","1","8 × 6 = ?","true","","","","","","","","","",""
"","2585","html-button-response","42","2.1.0","182576","pq78kx418s8","","<p>Which image is the odd one out?</p>","0","ooo_distractor_upbeat_instrumental","","","","","true","[""glasses"",""cap"",""tophat"",""crown""]","glasses","","","","","","","",""
"","2505","html-button-response","43","2.1.0","185083","pq78kx418s8","","<p>Which image is the odd one out?</p>","0","ooo_distractor_upbeat_instrumental","","","","","true","[""goose"",""fish"",""jellyfish"",""dolphin""]","goose","","","","","","","",""
