"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","url","stimulus","response","phase","type","word","correct_choice","problem","correct","image_set","selected_image","answer_key","distractors","correct_answers","incorrect_answers","false_alarms","missed_answers","miss_rate","accuracy"
"true","2220","fullscreen","0","null","3237","pg89slmjbse","","","","","","","","","","","","","","","","","","",""
"","26426","external-html","1","2.1.0","29904","pg89slmjbse","consent.html","","","","","","","","","","","","","","","","","",""
"","19506","html-button-response","2","2.1.0","49411","pg89slmjbse","","
                <h2>Welcome to our study!</h2>
                <p><strong>Please read the following instructions carefully:</strong></p>
                <div style=""text-align: left; max-width: 800px;"">
                    <p>In this study, you will complete a brief baseline evaluation about your music habits, genre preferences, study routines, and motivation levels.</p>
                    <p>Next, you will be presented with a series of words in the center of your screen. Please pay close attention and try to learn as many words as possible, as you will later be tested on your memory of them.</p>
                    <p>Between learning phases, you will complete short activities designed to keep you engaged. These tasks are not part of the retention test, but they are important for the study.</p>
                    <p>You will repeat this process under different audio conditions to explore how music affects learning and retention.</p>
                </div>
                <hr />
                <p><em>Stay focused, and do your best!</em></p>
            ","0","","","","","","","","","","","","","","","",""
"","237614","survey","3","2.1.0","287076","pg89slmjbse","","","{""baseline-age"":24,""baseline-race"":[""White""],""baseline-listen-frequency"":""Sometimes"",""baseline-listening-device"":""Over-ear headphones"",""baseline-music-type"":[""Lo-fi / Chillhop"",""Classical"",""Nature Sounds / White Noise""],""baseline-study-hours"":""10+"",""baseline-study-location"":[""Home""],""baseline-study-motivation"":6}","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","4","2.0.0","290093","pg89slmjbse","","
                <h2>Thank you!</h2>
                <p>Your baseline evaluation responses have been recorded.</p>
                <p><strong>You will now be taken to the learning task.</strong></p>
            ","null","","","","","","","","","","","","","","","",""
"","10128","html-button-response","5","2.1.0","300223","pg89slmjbse","","
                <h2>Adjust your volume</h2>
                <p>Before continuing, please adjust your volume using the audio player below.</p>
                <div><audio id=""audio_test"" controls controlsList = ""noplaybackrate nodownload"" src=""audio/test.wav""></audio></div>
            ","0","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","6","2.0.0","310239","pg89slmjbse","","<p>Starting trial with upbeat instrumental music.</p>
                  <p><strong>Please pay attention to the words in the center of your screen.</strong></p>
                  <p><em>The trial will begin in a few seconds.</em></p>","null","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","7","2.0.0","310758","pg89slmjbse","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","8","2.0.0","311760","pg89slmjbse","","<p style=""font-size: 32px;"">phone</p>","null","upbeat_instrumental","word","phone","","","","","","","","","","","","",""
"","null","html-keyboard-response","9","2.0.0","312272","pg89slmjbse","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","10","2.0.0","313296","pg89slmjbse","","<p style=""font-size: 32px;"">candle</p>","null","upbeat_instrumental","word","candle","","","","","","","","","","","","",""
"","null","html-keyboard-response","11","2.0.0","313808","pg89slmjbse","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","12","2.0.0","314811","pg89slmjbse","","<p style=""font-size: 32px;"">ocean</p>","null","upbeat_instrumental","word","ocean","","","","","","","","","","","","",""
"","null","html-keyboard-response","13","2.0.0","315322","pg89slmjbse","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","14","2.0.0","316325","pg89slmjbse","","<p style=""font-size: 32px;"">piano</p>","null","upbeat_instrumental","word","piano","","","","","","","","","","","","",""
"","null","html-keyboard-response","15","2.0.0","316837","pg89slmjbse","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","16","2.0.0","317840","pg89slmjbse","","<p style=""font-size: 32px;"">mouse</p>","null","upbeat_instrumental","word","mouse","","","","","","","","","","","","",""
"","null","html-keyboard-response","17","2.0.0","318352","pg89slmjbse","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","18","2.0.0","319362","pg89slmjbse","","<p style=""font-size: 32px;"">book</p>","null","upbeat_instrumental","word","book","","","","","","","","","","","","",""
"","null","html-keyboard-response","19","2.0.0","319874","pg89slmjbse","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","20","2.0.0","320880","pg89slmjbse","","<p style=""font-size: 32px;"">lamp</p>","null","upbeat_instrumental","word","lamp","","","","","","","","","","","","",""
"","null","html-keyboard-response","21","2.0.0","321381","pg89slmjbse","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","22","2.0.0","322384","pg89slmjbse","","<p style=""font-size: 32px;"">valley</p>","null","upbeat_instrumental","word","valley","","","","","","","","","","","","",""
"","null","html-keyboard-response","23","2.0.0","322906","pg89slmjbse","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","24","2.0.0","323909","pg89slmjbse","","<p style=""font-size: 32px;"">mountain</p>","null","upbeat_instrumental","word","mountain","","","","","","","","","","","","",""
"","null","html-keyboard-response","25","2.0.0","324421","pg89slmjbse","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","26","2.0.0","325435","pg89slmjbse","","<p style=""font-size: 32px;"">car</p>","null","upbeat_instrumental","word","car","","","","","","","","","","","","",""
"","null","html-keyboard-response","27","2.0.0","325957","pg89slmjbse","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","28","2.0.0","326960","pg89slmjbse","","<p style=""font-size: 32px;"">mirror</p>","null","upbeat_instrumental","word","mirror","","","","","","","","","","","","",""
"","null","html-keyboard-response","29","2.0.0","327472","pg89slmjbse","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","30","2.0.0","328475","pg89slmjbse","","<p style=""font-size: 32px;"">radio</p>","null","upbeat_instrumental","word","radio","","","","","","","","","","","","",""
"","null","html-keyboard-response","31","2.0.0","328997","pg89slmjbse","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","32","2.0.0","330000","pg89slmjbse","","<p style=""font-size: 32px;"">harbor</p>","null","upbeat_instrumental","word","harbor","","","","","","","","","","","","",""
"","null","html-keyboard-response","33","2.0.0","330523","pg89slmjbse","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","34","2.0.0","331525","pg89slmjbse","","<p style=""font-size: 32px;"">road</p>","null","upbeat_instrumental","word","road","","","","","","","","","","","","",""
"","null","html-keyboard-response","35","2.0.0","332037","pg89slmjbse","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
